Anio,SemanaEstadistica,PM25
2014,1,18.6443
2014,19,38.68745
2014,20,54.065428571428576
2014,21,48.07735714285714
2014,22,74.48212857142858
2014,23,38.42262857142857
2014,24,91.39622857142857
2014,25,73.48202857142857
2014,26,96.0298
2014,27,51.58331666666667
2014,28,96.80832857142858
2014,29,57.041642857142854
2014,30,55.6964
2014,31,52.91067142857143
2014,32,47.11902857142858
2014,33,74.63087142857144
2014,34,34.465983333333334
2014,35,39.56052857142857
2014,36,26.540618571428574
2014,37,21.630937142857142
2014,38,30.51782857142857
2014,39,18.845247142857144
2014,40,19.392857142857142
2014,41,18.588742857142854
2014,42,18.011914285714287
2014,43,16.11905714285714
2014,44,10.069453333333334
2014,45,13.767842857142856
2014,46,15.708328571428572
2014,47,12.666641428571427
2014,48,12.107128571428571
2014,49,16.899884285714286
2014,50,14.642857142857142
2014,51,10.892845714285714
2014,52,13.113100000000001
2015,1,13.947925
2015,2,17.15477142857143
2015,3,22.511642857142856
2015,4,13.860771428571429
2015,5,
2015,6,
2015,7,22.8631
2015,8,28.2017
2015,9,16.96945714285714
2015,10,16.482142857142858
2015,11,32.02974285714286
2015,12,23.88886666666667
2015,13,17.252277142857142
2015,14,16.511904285714287
2015,15,21.982142857142858
2015,16,22.42857571428571
2015,17,42.10115714285714
2015,18,43.3988
2015,19,51.17258571428572
2015,20,59.065428571428576
2015,21,56.00592857142857
2015,22,70.81904285714286
2015,23,66.3301
2015,24,49.57142857142857
2015,25,110.8334
2015,26,83.5655
2015,27,93.94637142857142
2015,28,56.81672571428572
2015,29,54.35713714285714
2015,30,91.11891428571428
2015,31,42.89282857142857
2015,32,23.646217142857143
2015,33,30.763893333333332
2015,34,32.2673
2015,35,37.10118571428571
2015,36,26.45951857142857
2015,37,28.220222857142858
2015,38,25.499985714285714
2015,39,16.654755714285717
2015,40,16.016666
2015,41,15.3139
2015,42,21.440030000000004
2015,43,12.144910000000001
2015,44,10.148804285714286
2015,45,14.03332
2015,46,13.577392857142858
2015,47,11.85883142857143
2015,48,11.522767142857143
2015,49,17.779757142857143
2015,50,17.46402857142857
2015,51,17.50724285714286
2015,52,17.3134
2015,53,19.84375
2016,1,16.61254285714286
2016,2,11.910343333333335
2016,3,13.214291428571428
2016,4,9.351184285714286
2016,5,13.95239
2016,6,11.654752857142856
2016,7,9.936157142857143
2016,8,13.868281428571427
2016,9,19.0
2016,10,19.434542857142855
2016,11,24.055566666666664
2016,12,32.5
2016,13,23.106614285714283
2016,14,26.452385714285715
2016,15,29.324011428571428
2016,16,17.309975
2016,17,56.90645714285714
2016,18,41.94047142857143
2016,19,44.92262857142857
2016,20,45.541671428571426
2016,21,60.23834285714286
2016,22,26.041657142857144
2016,23,83.08924285714285
2016,24,103.24414285714286
2016,25,93.55952857142857
2016,26,71.48815714285715
2016,27,76.34522857142858
2016,28,48.88944285714285
2016,29,60.863099999999996
2016,30,38.0
2016,31,51.304114285714284
2016,32,59.27094285714286
2016,33,28.827371428571432
2016,34,30.701071428571428
2016,35,31.345228571428574
2016,36,40.113099999999996
2016,37,41.190485714285714
2016,38,28.587457142857144
2016,39,21.202385714285715
2016,40,16.226185714285716
2016,41,12.119051428571428
2016,42,13.67263
2016,43,11.93752
2016,44,12.208338571428571
2016,45,15.845242857142855
2016,46,21.517842857142856
2016,47,12.011904285714285
2016,48,21.726185714285716
2016,49,14.348642857142858
2016,50,27.285700000000002
2016,51,34.645042857142855
2016,52,15.687490000000002
2016,53,18.875
2017,1,25.4107
2017,2,15.172628571428572
2017,3,42.12498571428572
2017,4,44.04165714285715
2017,5,32.73215714285714
2017,6,15.576314285714286
2017,7,15.369057142857143
2017,8,17.351185714285712
2017,9,12.741985714285715
2017,10,17.0
2017,11,22.64585
2017,12,13.6369
2017,13,14.125
2017,14,16.065481428571427
2017,15,23.80952857142857
2017,16,21.28572857142857
2017,17,41.44047142857143
2017,18,44.285714285714285
2017,19,29.857142857142858
2017,20,42.714285714285715
2017,21,51.57142857142857
2017,22,62.57142857142857
2017,23,70.57142857142857
2017,24,42.8
2017,25,45.857142857142854
2017,26,56.857142857142854
2017,27,56.42857142857143
2017,28,40.714285714285715
2017,29,58.142857142857146
2017,30,55.714285714285715
2017,31,57.142857142857146
2017,32,29.285714285714285
2017,33,38.142857142857146
2017,34,29.0
2017,35,20.571428571428573
2017,36,27.142857142857142
2017,37,33.285714285714285
2017,38,23.571428571428573
2017,39,12.0
2017,40,19.0
2017,41,19.0
2017,42,19.428571428571427
2017,43,11.857142857142858
2017,44,11.285714285714286
2017,45,15.428571428571429
2017,46,12.571428571428571
2017,47,15.0
2017,48,16.285714285714285
2017,49,18.285714285714285
2017,50,13.714285714285714
2017,51,15.285714285714286
2017,52,12.864587499999999
2018,1,13.75
2018,2,15.714285714285714
2018,3,15.285714285714286
2018,4,17.571428571428573
2018,5,18.571428571428573
2018,6,16.0
2018,7,19.428571428571427
2018,8,12.857142857142858
2018,9,15.714285714285714
2018,10,16.0
2018,11,14.857142857142858
2018,12,19.428571428571427
2018,13,25.428571428571427
2018,14,22.142857142857142
2018,15,22.714285714285715
2018,16,32.857142857142854
2018,17,32.0
2018,18,39.142857142857146
2018,19,37.857142857142854
2018,20,55.0
2018,21,64.14285714285714
2018,22,43.857142857142854
2018,23,60.142857142857146
2018,24,78.71428571428571
