Anio,SemanaEstadistica,NumTotal
2014,1,936
2014,2,1700
2014,3,1450
2014,4,1456
2014,5,1470
2014,6,1402
2014,7,1174
2014,8,1250
2014,9,1348
2014,10,1520
2014,11,2182
2014,12,2828
2014,13,2478
2014,14,2306
2014,15,2758
2014,16,2574
2014,17,2540
2014,18,2108
2014,19,2330
2014,20,2412
2014,21,2764
2014,22,2962
2014,23,2692
2014,24,3024
2014,25,4164
2014,26,4382
2014,27,4690
2014,28,4478
2014,29,3458
2014,30,2344
2014,31,2098
2014,32,2010
2014,33,2518
2014,34,2512
2014,35,2638
2014,36,2386
2014,37,2518
2014,38,2390
2014,39,2910
2014,40,2492
2014,41,2812
2014,42,2684
2014,43,2330
2014,44,2188
2014,45,2130
2014,46,2028
2014,47,2024
2014,48,2008
2014,49,2126
2014,50,2034
2014,51,1784
2014,52,1716
2014,53,806
2015,1,1424
2015,2,1358
2015,3,1266
2015,4,1252
2015,5,1192
2015,6,1156
2015,7,1412
2015,8,1454
2015,9,1372
2015,10,1912
2015,11,2448
2015,12,2462
2015,13,2268
2015,14,2500
2015,15,2702
2015,16,3022
2015,17,3098
2015,18,3194
2015,19,3160
2015,20,3236
2015,21,3016
2015,22,2650
2015,23,2754
2015,24,2880
2015,25,2846
2015,26,2736
2015,27,2698
2015,28,2872
2015,29,2674
2015,30,2932
2015,31,3100
2015,32,3798
2015,33,4024
2015,34,4178
2015,35,3780
2015,36,3080
2015,37,2940
2015,38,3158
2015,39,2906
2015,40,2892
2015,41,2880
2015,42,2840
2015,43,2494
2015,44,2424
2015,45,2414
2015,46,2534
2015,47,2518
2015,48,2272
2015,49,2024
2015,50,1922
2015,51,1710
2015,52,1154
2015,53,798
2016,1,1654
2016,2,1456
2016,3,1396
2016,4,1312
2016,5,1200
2016,6,1312
2016,7,1194
2016,8,1298
2016,9,1438
2016,10,1786
2016,11,2478
2016,12,2904
2016,13,2480
2016,14,2614
2016,15,2530
2016,16,2026
2016,17,2522
2016,18,2502
2016,19,2516
2016,20,2668
2016,21,3008
2016,22,2438
2016,23,2992
2016,24,3224
2016,25,3700
2016,26,4246
2016,27,3548
2016,28,3534
2016,29,3334
2016,30,3222
2016,31,3088
2016,32,3302
2016,33,3784
2016,34,3272
2016,35,3040
2016,36,3392
2016,37,2988
2016,38,3054
2016,39,2534
2016,40,2354
2016,41,2590
2016,42,2440
2016,43,2484
2016,44,2324
2016,45,1970
2016,46,1920
2016,47,1672
2016,48,1634
2016,49,1538
2016,50,1510
2016,51,1434
2016,52,1890
2017,1,1654
2017,2,1202
2017,3,1332
2017,4,1238
2017,5,1266
2017,6,1120
2017,7,1144
2017,8,1172
2017,9,1070
2017,10,1444
2017,11,2466
2017,12,2770
